setting,rows,object_accuracy,image_text_clipscore,clip_text_similarity,token_f1,bleu1_sentence_avg,bleu2_sentence_avg,bleu3_sentence_avg,bleu4_corpus,rouge_l,meteor,cider,cue_coverage,evidence_faithfulness
Low only,1987,0.22546552591847005,0.207570984701813,0.49821866323180575,0.21842141100047052,0.18004766973922717,0.11666157404649606,0.09547366600540845,0.018739826466732844,0.18860846611119086,0.1247300094053925,0.23234078217862508,0.41913543498573047,0.8313656291255701
High only,1987,0.22496225465525918,0.19878661760916932,0.49006023725366316,0.26667718895494635,0.2683843632637186,0.17383428343614032,0.1368031001811955,0.036890260008432936,0.23560974697787704,0.17863066874095718,0.33463931897297894,0.35682905668850007,0.8612752448174771
High + Reliable Low,1987,0.24760946149974836,0.19986106224534317,0.4901342701239987,0.2722252568530597,0.2715746187344125,0.17585346007401026,0.1381708799216701,0.04043022107492771,0.23995394147553345,0.18358844653314785,0.3543594976379901,0.33115423159761076,0.8736716552461848
