method,rows,rouge1_f1,rouge2_f1,rouge_l,bleu1,bleu2,bleu3,bleu4,meteor,bertscore_f1
Low only,1987,0.21842141100047094,0.03776715227237263,0.18860846611119095,0.18004766973922762,0.11666157404649631,0.09547366600540849,0.0889462057409648,0.12473000940539253,
High only,1987,0.26667718895494663,0.06439159669494093,0.23560974697787757,0.2683843632637185,0.17383428343614094,0.13680310018119565,0.12125519160609212,0.17863066874095707,
High + Reliable Low,1987,0.2722252568530597,0.06731875936726647,0.23995394147553392,0.27157461873441235,0.17585346007401065,0.13817087992167015,0.12215727426972176,0.18358844653314785,
