metric,high_only,high_reliable_low,absolute_gain,relative_gain_percent
Object Acc,0.2249622546552591,0.2476094614997483,0.022647206844489204,10.067114093959747
Token F1,0.2666771889549463,0.2722252568530597,0.005548067898113407,2.080443370449178
BLEU-1,0.2683843632637186,0.2715746187344125,0.0031902554706939035,1.188689024911302
BLEU-2,0.1738342834361403,0.1758534600740102,0.002019176637869907,1.1615525993821991
BLEU-3,0.1368031001811955,0.1381708799216701,0.001367779740474584,0.9998163335940206
ROUGE-L,0.235609746977877,0.2399539414755334,0.004344194497656384,1.843809330207502
METEOR,0.1786306687409571,0.1835884465331478,0.0049577777921906985,2.77543482714061
CIDEr,0.3346393189729789,0.3543594976379901,0.01972017866501119,5.892965215663595
Faithfulness,0.8612752448174771,0.8736716552461848,0.01239641042870776,1.4393088043921232
